Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,Valor,mean,std
2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,
4.43,3.99,4.85,3.88,3.56,4.9,3.87,5.34,3.75,4.68,5.57,4.4381818181818184,0.6477768721041666
4.1,4.95,3.5,4.18,4.44,4.29,4.07,5.78,5.17,4.3,3.66,4.403636363636363,0.6344829351852754
4.39,4.48,4.86,5.31,4.84,3.94,3.82,4.23,3.42,2.95,4.62,4.26,0.6545227268781428
4.66,4.35,5.04,3.91,3.72,2.89,3.26,4.75,4.98,4.12,,4.168,0.6899971014431873
4.02,4.78,2.74,4.53,4.58,4.04,3.09,4.92,3.92,4.17,,4.079000000000001,0.668033681785582
3.96,3.87,3.58,4.2,4.07,3.45,5.0,3.23,3.75,4.31,,3.942,0.47541140078883254
4.13,5.26,3.98,5.1,3.78,4.26,4.4,4.37,4.57,5.4,,4.5249999999999995,0.5250190472735251
4.39,3.75,4.04,5.94,3.49,3.84,4.73,4.71,3.98,4.97,,4.3839999999999995,0.6905968433174308
4.81,4.13,4.56,5.55,4.66,4.26,3.28,5.24,4.54,3.93,,4.4959999999999996,0.6151942782568772
4.66,4.7,2.36,3.88,3.45,3.68,4.39,4.92,4.66,3.46,,4.016,0.7587911438597581
4.39,3.88,4.08,3.56,3.91,4.09,4.07,3.44,3.91,4.39,,3.972,0.29215749177455635
4.61,4.59,4.35,4.69,5.06,3.7,3.8,5.54,4.16,4.35,,4.485,0.5234357649224974
